,0,1,2,3,4,5,6,7,8,9
0,0.0,162.0,238.0,7001005.0,7.001299482214388,0.0,0.0,0.0,0.0,0.0
1,1.0,127.0,188.0,7009621.0,85.60783649448626,0.0,0.0,0.0,1.0,0.0
2,3.0,127.0,188.0,7013754.0,76.12753152005376,0.0,0.0,0.0,0.0,0.0
3,4.0,125.0,186.0,7007761.0,59.136646590807906,0.0,0.0,0.0,0.0,0.0
4,5.0,125.0,184.0,7000888.0,29.702279548319307,0.0,0.0,0.0,0.0,1.0
5,6.0,118.0,175.0,7013763.0,30.29642559012713,0.0,0.0,0.0,0.0,1.0
6,7.0,125.0,184.0,7004209.0,1.8316363733680168,0.0,0.0,0.0,0.0,0.0
7,8.0,122.0,181.0,7003835.0,76.59355111835757,0.0,0.0,0.0,0.0,0.0
8,9.0,122.0,181.0,7007491.0,137.15630167804622,0.0,0.0,0.0,0.0,1.0
9,10.0,127.0,189.0,7008110.0,7.139509111143253,0.0,0.0,0.0,0.0,0.0
10,11.0,187.0,273.0,7001044.0,66.12462282702495,0.0,0.0,0.0,0.0,0.0
11,12.0,123.0,183.0,7009743.0,22.162943472607637,0.0,0.0,0.0,0.0,0.0
12,13.0,113.0,168.0,7000771.0,22.39383737786105,0.0,0.0,0.0,0.0,1.0
13,14.0,122.0,182.0,7013964.0,23.71968261048874,0.0,0.0,0.0,0.0,1.0
14,15.0,126.0,188.0,7007727.0,6.167392884205776,0.0,0.0,0.0,0.0,0.0
15,16.0,126.0,188.0,7001778.0,36.87593327235092,0.0,0.0,0.0,0.0,1.0
16,17.0,121.0,181.0,7003730.0,5.939634220430257,0.0,0.0,0.0,0.0,0.0
17,18.0,124.0,186.0,7008425.0,29.29443342064137,0.0,0.0,0.0,0.0,0.0
18,19.0,127.0,189.0,7011042.0,12.722873732616188,0.0,0.0,0.0,0.0,0.0
19,20.0,122.0,182.0,7001181.0,38.114643460787285,0.0,0.0,0.0,0.0,0.0
20,21.0,122.0,182.0,7013338.0,83.65997427942473,0.0,0.0,0.0,0.0,0.0
21,22.0,121.0,181.0,7000097.0,33.83234519535875,0.0,0.0,0.0,0.0,0.0
22,23.0,124.0,184.0,7006395.0,11.136833512402044,0.0,0.0,0.0,0.0,0.0
23,24.0,125.0,185.0,7003408.0,30.37273942519223,0.0,0.0,0.0,0.0,0.0
24,25.0,122.0,182.0,7000102.0,58.0891193762599,0.0,0.0,0.0,0.0,0.0
25,26.0,124.0,184.0,7000713.0,38.23774586545166,0.0,0.0,0.0,0.0,1.0
26,27.0,126.0,188.0,7000860.0,47.70847221561193,0.0,0.0,0.0,0.0,1.0
27,29.0,125.0,185.0,7002128.0,126.75667301544708,0.0,0.0,0.0,0.0,0.0
28,30.0,125.0,187.0,7014154.0,26.242385767867194,0.0,0.0,0.0,0.0,1.0
29,31.0,122.0,182.0,7013831.0,74.87343509486058,0.0,0.0,0.0,1.0,0.0
30,32.0,125.0,187.0,7008917.0,47.158209277030295,0.0,0.0,0.0,0.0,0.0
31,33.0,124.0,186.0,7000649.0,43.034489620742356,0.0,0.0,0.0,0.0,0.0
32,34.0,127.0,189.0,7009858.0,46.81705663362216,0.0,0.0,0.0,0.0,0.0
33,35.0,127.0,189.0,7012534.0,55.47397021841118,0.0,0.0,0.0,0.0,1.0
34,36.0,103.0,154.0,7001308.0,21.943319049496044,0.0,0.0,0.0,0.0,0.0
35,37.0,127.0,189.0,7013164.0,60.79472644998202,0.0,0.0,0.0,0.0,0.0
36,39.0,125.0,187.0,7014238.0,27.973636147752675,0.0,0.0,0.0,0.0,0.0
37,40.0,125.0,187.0,7000535.0,116.41078772530416,0.0,0.0,0.0,0.0,0.0
38,42.0,122.0,182.0,7000850.0,64.23611609958158,0.0,0.0,0.0,0.0,1.0
39,43.0,122.0,182.0,7011255.0,21.960380696831788,0.0,0.0,0.0,1.0,0.0
40,44.0,98.0,147.0,7013700.0,26.199349084788732,0.0,0.0,0.0,0.0,0.0
41,45.0,122.0,182.0,7013780.0,43.61812839411033,0.0,0.0,0.0,0.0,0.0
42,46.0,124.0,184.0,7001239.0,1.0100196286262269,0.0,0.0,0.0,0.0,0.0
43,47.0,124.0,184.0,7001231.0,10.075083261249793,0.0,0.0,0.0,0.0,0.0
44,48.0,127.0,189.0,7000852.0,41.59557802676954,0.0,0.0,0.0,0.0,0.0
45,50.0,123.0,183.0,7001757.0,0.4337608417428699,0.0,0.0,0.0,0.0,0.0
46,51.0,125.0,187.0,7007137.0,74.22651359022117,0.0,0.0,0.0,0.0,0.0
47,52.0,125.0,187.0,7000567.0,113.17724261137622,0.0,0.0,0.0,0.0,0.0
48,53.0,127.0,189.0,7001131.0,87.4307976954384,0.0,0.0,0.0,0.0,0.0
49,54.0,125.0,187.0,7000969.0,8.689653465252242,0.0,0.0,0.0,0.0,0.0
50,55.0,124.0,184.0,7002951.0,63.29543625200392,0.0,0.0,0.0,0.0,0.0
51,56.0,123.0,183.0,7000922.0,220.85626495907826,0.0,0.0,0.0,0.0,1.0
52,58.0,127.0,189.0,7000794.0,33.589163165617016,0.0,0.0,0.0,0.0,0.0
53,59.0,125.0,187.0,7001159.0,131.31539441027923,0.0,0.0,0.0,0.0,1.0
54,61.0,120.0,180.0,7006059.0,74.63164732793936,0.0,0.0,0.0,0.0,0.0
55,62.0,124.0,186.0,7000146.0,26.90707078854357,0.0,0.0,0.0,0.0,0.0
56,64.0,124.0,186.0,7001617.0,53.63430860894369,0.0,0.0,0.0,0.0,0.0
57,65.0,123.0,182.0,7000863.0,32.67711704383245,0.0,0.0,0.0,0.0,1.0
58,66.0,83.0,125.0,7001296.0,54.49251977534808,0.0,0.0,0.0,0.0,1.0
59,68.0,123.0,182.0,7002817.0,99.9097044619155,0.0,0.0,0.0,0.0,0.0
60,69.0,123.0,182.0,7001139.0,10.539847898358703,0.0,0.0,0.0,0.0,0.0
61,71.0,123.0,182.0,7001087.0,11.304817843772485,0.0,0.0,0.0,0.0,1.0
62,72.0,123.0,182.0,7002625.0,41.55205917107049,0.0,0.0,0.0,0.0,0.0
63,73.0,123.0,182.0,7000100.0,10.968634011526248,0.0,0.0,0.0,0.0,0.0
64,74.0,123.0,182.0,7008358.0,12.9279295539164,0.0,0.0,0.0,0.0,0.0
65,77.0,118.0,175.0,7000939.0,27.652844604364013,0.0,0.0,0.0,0.0,1.0
66,79.0,124.0,183.0,7014769.0,8.666101150197836,0.0,0.0,0.0,0.0,0.0
67,80.0,120.0,179.0,7003757.0,14.279571829344563,0.0,0.0,0.0,0.0,0.0
68,81.0,122.0,181.0,7000814.0,153.9637969823722,0.0,0.0,0.0,0.0,0.0
69,82.0,131.0,194.0,7006793.0,58.49757314002979,0.0,0.0,0.0,0.0,0.0
70,83.0,111.0,166.0,7002957.0,30.175885090678054,0.0,0.0,0.0,0.0,0.0
71,84.0,124.0,185.0,7001180.0,12.08387194667974,0.0,0.0,0.0,0.0,0.0
72,85.0,118.0,175.0,7003312.0,117.46020158666651,0.0,0.0,0.0,0.0,1.0
