,0
Appt_Length,1.1805259089608726e-64
Made_Lead_Days_Calendar,0.0
Sibley_ID,0.0
Duration,0.7567211048091544
Distance,0.7915415279898167
distance,0.009671184100825536
count_app,0.0016641550526341749
count_miss,0.0
count_cancel,2.506877127099383e-67
diff_pay_count,7.589174435573245e-07
Appt_Made_Year,0.9086250126844607
Appt_Made_Month,1.872004976510596e-06
Appt_Made_Day,0.2149750776925986
Appt_Made_Hour,0.011058300160591833
Appt_Made_Min,3.8628271953346095e-06
Appt_Year,0.8799847688208107
Appt_Month,2.3541735053753476e-30
Appt_Day,0.0961777497439473
Appt_Time_Hour,0.003949877008396265
Appt_Time_Min,3.6757336242501127e-38
dept_1,2.1645962274378516e-35
dept_2,1.2078468625353038e-37
dept_3,0.04538056013178873
dept_4,0.003188040990287275
dept_5,4.883468930516661e-05
dept_6,0.00016289745598562768
dept_7,0.0008406440334464442
dept_8,0.6088418470511647
dept_9,4.6013738423050236e-20
dept_11,0.34174819422677793
dept_12,0.6935250594777425
dept_13,1.1973518355135936e-05
dept_14,2.857736824721235e-35
dept_15,1.826016637915413e-15
dept_16,0.22326016711148725
dept_17,3.8956143884368526e-13
dept_18,5.786791586258208e-09
dept_19,0.0012469193280487843
dept_20,0.8542757924672217
dept_21,5.2126955653107994e-05
dept_22,0.06805979312217712
dept_23,0.2938900405619166
dept_24,5.012023489846009e-14
dept_26,0.2838756892104922
dept_27,3.801743722919301e-09
provider_1,0.28534554989379335
provider_6,0.30944018060578016
provider_7,1.0234679141966453e-10
provider_8,1.6026944356800892e-07
provider_9,0.031735990272228794
provider_10,1.5470188580487562e-10
provider_12,7.273871644204226e-10
provider_14,0.0024758347937476363
provider_19,0.013611545833070077
provider_20,0.010871556241222931
provider_22,0.014986791051909153
provider_23,5.012023489846009e-14
provider_25,0.449844477408607
provider_26,1.7023254201197218e-05
provider_28,6.529502059327512e-23
provider_30,0.146334025565653
provider_31,4.844397786730815e-08
provider_32,5.0670877047575305e-18
provider_35,0.0058875218492397
provider_36,0.6884789369296254
provider_37,0.13562050238714193
provider_38,8.809494263959953e-07
provider_39,0.09701719777157472
provider_42,3.4802430613743725e-07
provider_44,0.14453841063413753
provider_45,0.04269458106651009
provider_47,0.510585125912307
provider_48,3.872939500433898e-05
provider_49,0.0001302488610951046
provider_50,0.591829638869255
provider_52,0.018013100029873833
provider_53,0.9733802981121623
provider_55,7.899518420188144e-06
provider_56,2.3564901165790363e-09
provider_57,0.006556057820919593
provider_61,0.11698901252766727
provider_62,0.00041436622749320873
provider_63,0.13935035800062512
provider_65,0.3580918335135469
provider_66,0.0002718910611669269
provider_68,0.7830280926718846
provider_69,0.0002989226857461562
provider_73,1.0643689681915167e-29
provider_76,0.8943481270851277
provider_77,0.024505493398899413
provider_78,2.6268353976465045e-05
provider_80,0.0035473546518588897
provider_81,0.0797245797153233
provider_82,0.00022168078221436262
provider_83,7.730614490281402e-14
provider_84,0.0834788708846539
provider_85,0.38990711848984005
provider_86,0.6582828547737753
provider_89,0.33494535221372873
appt_log_type_0,1.0179844827073194e-08
appt_log_type_1,0.05288324024435434
appt_log_type_2,0.19211253724666133
appt_log_type_3,6.593090172068219e-08
appt_log_type_4,2.746700781156424e-10
visit_type_1,0.00019380947219377776
visit_type_2,3.974299381718502e-06
visit_type_3,0.30799355648076265
visit_type_4,0.1320017340530463
visit_type_7,0.017631162191764395
visit_type_8,5.012023489846009e-14
visit_type_9,0.2675189568698059
visit_type_11,3.528616181037935e-08
visit_type_12,0.636138025282877
visit_type_14,0.0734392246149185
visit_type_15,0.2980736601964852
visit_type_16,0.46419440533445
visit_type_17,0.1866663196166291
visit_type_19,0.6232637946584307
visit_type_20,0.7283268500844333
visit_type_21,0.4189220874348233
visit_type_22,2.2884975107582896e-06
visit_type_23,3.4168695749909927e-09
visit_type_24,0.05919507157334551
visit_type_26,0.0734392246149185
visit_type_27,0.2967901770242169
visit_type_28,7.797304327541034e-16
visit_type_29,0.6130634116501155
visit_type_30,0.2388966735072549
visit_type_31,0.0029853159770147617
visit_type_32,
visit_type_36,0.4373341338616191
visit_type_38,0.6895120758506501
visit_type_39,0.8017334365855884
visit_type_40,0.7638641271400433
visit_type_42,0.06599670785781699
age_bucket_0,0.11628511874809339
age_bucket_1,8.17068005280561e-26
age_bucket_2,0.0008075418952118277
age_bucket_3,0.32071538685667694
age_bucket_4,8.975553188239358e-09
payor_type_0.0,6.358985721518752e-133
payor_type_1.0,1.5040954623485945e-100
payor_type_2.0,8.025695262363595e-08
payor_type_3.0,1.3002790112948598e-92
payor_type_4.0,1.119049871109418e-134
count,4.707567141056032e-118
